iter	R2	RMSE
801	0.964116416	0.07564161002
802	0.9642075221	0.07554552444
803	0.964275885	0.07547334479
804	0.9643107833	0.07543647135
805	0.9643172886	0.07542959596
806	0.9643825245	0.07536061343
807	0.9643898837	0.07535282757
808	0.9643946913	0.07534774083
809	0.9644401607	0.07529961448
810	0.9645389364	0.07519496069
811	0.9646675051	0.07505852235
812	0.9646743393	0.07505126286
813	0.964684036	0.07504096153
814	0.9646948449	0.07502947703
815	0.964696827	0.07502737085
816	0.9647005627	0.07502340117
817	0.964734303	0.07498753776
818	0.9647436855	0.07497756179
819	0.9648031191	0.07491433818
820	0.9648600308	0.07485374716
821	0.9648674139	0.07484588314
822	0.9649059501	0.07480482346
823	0.9649966587	0.07470808578
824	0.9650909349	0.07460741053
825	0.9650964775	0.07460148753
826	0.965136101	0.07455913055
827	0.9651885065	0.07450307293
828	0.9652614642	0.0744249604
829	0.9652742344	0.07441127951
830	0.9652960679	0.07438788315
831	0.9653302321	0.07435125868
832	0.9653425296	0.07433807111
833	0.9653770178	0.0743010744
834	0.9653970164	0.07427961281
835	0.9654305092	0.0742436558
836	0.9654985662	0.07417053807
837	0.9655415898	0.07412427794
838	0.9655686097	0.07409521066
839	0.9656450583	0.07401290751
840	0.9657356191	0.07391529293
841	0.9657843327	0.07386273159
842	0.9658214645	0.07382264181
843	0.9658679279	0.0737724463
844	0.9658976762	0.07374029057
845	0.9659752483	0.07365637474
846	0.9659792926	0.0736519971
847	0.9660539575	0.07357113104
848	0.9660985109	0.07352283499
849	0.9661754799	0.07343932554
850	0.9662242218	0.07338639255
851	0.9662650579	0.07334201575
852	0.9663019292	0.07330192453
853	0.9663171428	0.07328537587
854	0.9663512339	0.0732482797
855	0.9663972655	0.07319816063
856	0.9664490931	0.07314168979
857	0.9664516998	0.07313884839
858	0.9664656175	0.07312367577
859	0.9665138981	0.07307101745
860	0.9665400102	0.07304252191
861	0.9665704977	0.07300923751
862	0.9665789689	0.07299998647
863	0.9665874061	0.07299077139
864	0.9666014696	0.07297540882
865	0.9666457601	0.07292700556
866	0.9667006199	0.07286700713
867	0.966714072	0.07285228738
868	0.9667507193	0.07281217177
869	0.9667861302	0.07277338846
870	0.9668033387	0.07275453369
871	0.9668517822	0.07270142932
872	0.9668967061	0.07265214865
873	0.966903985	0.07264416063
874	0.9669760411	0.07256503773
875	0.9669828325	0.07255757581
876	0.9669869076	0.07255309793
877	0.9670179318	0.07251899898
